GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
1600000US2639360,2639360,"Houghton city, Michigan",2650,219,29643,2930,82.3,3.2,31639,3022,2.3,1.9,-,**,0.9,0.8,(X),(X),10.9,3.2,16500,11983,0.0,0.8,-,**,0.6,0.8,-,**,3.0,1.9,(X),(X),1.6,1.6,-,**,81.3,3.4,31373,2765,30.8,5.6,17593,4239,24.7,4.3,36406,12033,21.5,4.4,58242,14137,23.0,3.3,32991,6919,1189,165,59886,17587,38.3,7.9,67868,30018,61.7,7.9,53833,20184,73.2,8.0,82622,4243,14.6,6.7,21250,9909,12.2,7.7,"2,500-",***,1461,192,21371,2920,49.8,7.3,19783,2610,34.1,7.0,21683,11708,15.7,4.3,14963,6042,50.2,7.3,25324,7037,16.8,5.3,13368,4670,33.5,7.2,29514,7091,30.0,(X),(X),(X),21.0,(X),(X),(X),33.5,(X),(X),(X)
1600000US2639400,2639400,"Houghton Lake CDP, Michigan",1591,136,28750,5384,99.4,0.9,28588,5263,0.0,1.4,-,**,0.6,0.9,-,**,0.0,1.4,-,**,0.0,1.4,-,**,0.0,1.4,-,**,0.0,1.4,-,**,0.6,0.8,-,**,98.8,1.3,28442,5298,4.0,4.4,23545,627,17.7,5.1,28958,17954,38.1,6.1,24500,7602,40.2,5.8,33367,8175,964,137,35682,7486,28.5,8.5,39861,18502,71.5,8.5,35038,6265,65.6,9.4,(X),(X),22.1,8.2,(X),(X),12.3,7.2,(X),(X),627,107,18490,7444,48.6,10.1,(X),(X),44.5,10.0,(X),(X),4.1,4.0,(X),(X),51.4,10.1,(X),(X),44.2,9.8,(X),(X),7.2,6.2,(X),(X),31.6,(X),(X),(X),31.2,(X),(X),(X),31.4,(X),(X),(X)
1600000US2639500,2639500,"Howard City village, Michigan",609,103,37939,3642,99.0,1.5,37804,3660,0.0,3.6,-,**,0.0,3.6,-,**,0.8,1.5,-,**,0.0,3.6,-,**,0.0,3.6,-,**,0.2,0.7,-,**,1.6,1.5,46667,23508,97.4,2.1,37669,3749,4.9,3.8,38333,22172,33.2,7.5,38235,3933,43.8,7.2,45521,9103,18.1,5.3,21667,6133,391,74,44844,7476,52.7,9.1,40500,6934,47.3,9.1,48828,12714,70.3,7.5,(X),(X),22.3,6.1,(X),(X),7.4,4.6,(X),(X),218,64,28333,10726,49.1,12.5,(X),(X),42.7,13.0,(X),(X),6.4,4.4,(X),(X),50.9,12.5,(X),(X),43.6,12.9,(X),(X),7.3,8.2,(X),(X),36.9,(X),(X),(X),36.8,(X),(X),(X),34.9,(X),(X),(X)
1600000US2639540,2639540,"Howell city, Michigan",4085,225,41452,4800,96.6,1.9,41021,4084,0.0,0.5,-,**,0.0,0.5,-,**,1.9,1.1,50924,9321,0.0,0.5,-,**,0.8,1.0,-,**,0.7,0.8,-,**,2.0,1.3,60795,21900,95.4,2.0,40590,3732,4.4,2.2,21250,12405,39.8,4.3,45187,7629,34.5,4.2,53618,11191,21.3,3.5,30972,10162,2198,155,55551,10416,55.6,5.3,46641,7293,44.4,5.3,71150,5112,64.2,6.2,70233,9633,28.1,5.9,29500,13317,7.7,3.8,41607,7348,1887,266,28340,7982,63.6,7.9,(X),(X),58.6,8.2,(X),(X),5.0,3.1,(X),(X),36.4,7.9,(X),(X),32.0,6.8,(X),(X),4.4,3.1,(X),(X),21.4,(X),(X),(X),26.0,(X),(X),(X),13.4,(X),(X),(X)
1600000US2639634,2639634,"Hubbard Lake CDP, Michigan",457,49,52688,5579,99.3,1.0,52875,5559,0.0,4.8,-,**,0.0,4.8,-,**,0.0,4.8,-,**,0.0,4.8,-,**,0.7,1.0,-,**,0.0,4.8,-,**,0.7,1.0,-,**,99.3,1.0,52875,5559,0.0,4.8,-,**,5.3,3.0,70625,14018,28.4,5.6,54615,16410,66.3,5.4,49135,6149,313,41,62159,4402,8.3,4.7,94167,13683,91.7,4.7,60568,5945,93.0,3.1,(X),(X),3.2,2.7,(X),(X),3.8,2.9,(X),(X),144,35,26548,4648,64.6,9.9,(X),(X),55.6,11.0,(X),(X),9.0,6.7,(X),(X),35.4,9.9,(X),(X),30.6,10.1,(X),(X),4.9,4.6,(X),(X),22.3,(X),(X),(X),25.6,(X),(X),(X),15.3,(X),(X),(X)
1600000US2639660,2639660,"Hubbardston village, Michigan",114,21,50000,14839,100.0,17.8,50000,14839,0.0,17.8,-,**,0.0,17.8,-,**,0.0,17.8,-,**,0.0,17.8,-,**,0.0,17.8,-,**,0.0,17.8,-,**,0.0,17.8,-,**,100.0,17.8,50000,14839,0.9,1.7,-,**,32.5,10.5,62917,11333,36.8,10.0,50357,12989,29.8,8.7,34375,13564,83,20,61563,11658,43.4,11.8,62500,16700,56.6,11.8,54375,22996,81.9,13.2,(X),(X),8.4,8.2,(X),(X),9.6,9.2,(X),(X),31,12,24583,9002,38.7,19.9,23750,17011,35.5,20.2,23125,17301,3.2,7.6,-,**,61.3,19.9,26250,12395,58.1,20.1,25000,12746,3.2,6.1,-,**,43.9,(X),(X),(X),38.6,(X),(X),(X),54.8,(X),(X),(X)
1600000US2639680,2639680,"Hubbell CDP, Michigan",361,49,40125,5705,100.0,6.0,40125,5705,0.0,6.0,-,**,0.0,6.0,-,**,0.0,6.0,-,**,0.0,6.0,-,**,0.0,6.0,-,**,0.0,6.0,-,**,0.0,6.0,-,**,100.0,6.0,40125,5705,2.2,3.3,-,**,37.1,9.0,41563,15945,45.4,11.1,43571,10789,15.2,7.6,33365,12870,222,46,44545,10057,45.5,11.9,39583,35782,54.5,11.9,44886,8042,78.4,12.3,(X),(X),9.9,8.9,(X),(X),11.7,10.4,(X),(X),139,36,31736,3355,55.4,14.2,(X),(X),47.5,17.0,(X),(X),7.9,11.7,(X),(X),44.6,14.2,(X),(X),31.7,14.7,(X),(X),12.9,11.7,(X),(X),34.1,(X),(X),(X),38.3,(X),(X),(X),27.3,(X),(X),(X)
1600000US2639720,2639720,"Hudson city, Michigan",851,75,49323,4655,98.0,1.8,48958,5101,0.0,2.6,-,**,0.0,2.6,-,**,0.0,2.6,-,**,0.0,2.6,-,**,0.8,1.2,-,**,1.2,1.3,-,**,6.0,3.3,60469,32259,92.8,3.5,48438,5359,7.4,3.5,25521,7535,35.0,5.7,58125,16216,40.4,5.4,52778,4832,17.2,4.3,33250,12349,605,66,53323,3133,56.2,6.7,50536,11422,43.8,6.7,54201,9303,72.9,6.6,69375,10791,19.8,6.9,16364,10194,7.3,3.6,30909,9914,246,59,25909,6980,52.8,12.9,(X),(X),42.7,14.2,(X),(X),10.2,7.5,(X),(X),47.2,12.9,(X),(X),37.8,12.2,(X),(X),9.3,8.7,(X),(X),26.6,(X),(X),(X),26.6,(X),(X),(X),26.4,(X),(X),(X)
1600000US2639800,2639800,"Hudsonville city, Michigan",2519,123,54825,6534,95.0,3.3,54650,6227,0.0,0.9,-,**,0.4,0.6,-,**,1.8,1.7,-,**,0.0,0.9,-,**,0.2,0.4,-,**,2.6,2.8,-,**,0.7,0.8,-,**,94.2,3.4,54500,6237,7.3,4.0,32083,20458,32.1,4.6,62617,13643,39.8,3.8,69323,10421,20.7,2.5,32059,6075,1938,118,63448,6685,47.4,5.0,63472,11585,52.6,5.0,63438,8393,81.4,5.5,(X),(X),12.1,4.5,(X),(X),6.5,4.0,(X),(X),581,114,26484,8819,62.8,9.9,(X),(X),53.7,10.7,(X),(X),9.1,6.5,(X),(X),37.2,9.9,(X),(X),26.0,9.1,(X),(X),11.2,6.4,(X),(X),24.7,(X),(X),(X),23.6,(X),(X),(X),28.4,(X),(X),(X)
1600000US2640000,2640000,"Huntington Woods city, Michigan",2457,74,115025,7314,97.1,1.6,116392,8196,2.2,1.4,88750,30283,0.0,0.9,-,**,0.8,0.9,-,**,0.0,0.9,-,**,0.0,0.9,-,**,0.0,0.9,-,**,1.3,0.9,(X),(X),95.7,1.9,116648,8338,0.2,0.3,-,**,26.5,3.6,135714,25714,47.7,4.0,123750,14912,25.6,2.7,81563,13655,1769,82,130208,8591,48.7,3.4,138875,26186,51.3,3.4,114044,10936,90.2,3.6,(X),(X),7.6,3.2,(X),(X),2.1,1.5,(X),(X),688,112,87931,7957,63.5,9.6,(X),(X),52.6,10.2,(X),(X),10.9,10.4,(X),(X),36.5,9.6,(X),(X),26.2,9.3,(X),(X),10.3,5.4,(X),(X),28.7,(X),(X),(X),25.3,(X),(X),(X),37.5,(X),(X),(X)
