GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
1600000US2609820,2609820,"Boyne City city, Michigan",0.4339,0.0272
1600000US2609840,2609840,"Boyne Falls village, Michigan",0.3099,0.0472
1600000US2610160,2610160,"Breckenridge village, Michigan",0.4171,0.0365
1600000US2610180,2610180,"Breedsville village, Michigan",0.3701,0.1331
1600000US2610300,2610300,"Brethren CDP, Michigan",0.3196,0.0463
1600000US2610440,2610440,"Bridgeport CDP, Michigan",0.3948,0.0280
1600000US2610580,2610580,"Bridgman city, Michigan",0.4410,0.0418
1600000US2610620,2610620,"Brighton city, Michigan",0.3928,0.0250
1600000US2610760,2610760,"Britton village, Michigan",0.3947,0.0565
1600000US2610860,2610860,"Bronson city, Michigan",0.3963,0.0444
1600000US2611000,2611000,"Brooklyn village, Michigan",0.4273,0.0354
1600000US2611180,2611180,"Brown City city, Michigan",0.4390,0.0445
1600000US2611200,2611200,"Brownlee Park CDP, Michigan",0.3958,0.0358
1600000US2611380,2611380,"Brutus CDP, Michigan",0.3432,0.0474
1600000US2611400,2611400,"Buchanan city, Michigan",0.4449,0.0389
1600000US2611480,2611480,"Buckley village, Michigan",0.3555,0.0490
1600000US2611555,2611555,"Buena Vista CDP, Michigan",0.4476,0.0332
1600000US2611800,2611800,"Burlington village, Michigan",0.3536,0.0612
1600000US2611920,2611920,"Burr Oak village, Michigan",0.3845,0.1112
1600000US2612000,2612000,"Burt CDP, Michigan",0.3715,0.0581
1600000US2612060,2612060,"Burton city, Michigan",0.4538,0.0329
1600000US2612260,2612260,"Byron village, Michigan",0.3674,0.0527
1600000US2612280,2612280,"Byron Center CDP, Michigan",0.4360,0.0458
1600000US2612290,2612290,"Caberfae CDP, Michigan",0.5615,0.2098
1600000US2612320,2612320,"Cadillac city, Michigan",0.4434,0.0482
1600000US2612480,2612480,"Caledonia village, Michigan",0.4296,0.0725
1600000US2612580,2612580,"Calumet village, Michigan",0.5381,0.0470
1600000US2612760,2612760,"Camden village, Michigan",0.3807,0.0471
1600000US2612980,2612980,"Canada Creek Ranch CDP, Michigan",0.2745,0.0455
1600000US2613010,2613010,"Canadian Lakes CDP, Michigan",0.3503,0.0394
1600000US2613140,2613140,"Capac village, Michigan",0.3941,0.0337
1600000US2613220,2613220,"Carleton village, Michigan",0.4522,0.0564
1600000US2613400,2613400,"Carney village, Michigan",0.4115,0.0688
1600000US2613420,2613420,"Caro city, Michigan",0.4513,0.0348
1600000US2613480,2613480,"Carp Lake CDP, Michigan",0.2783,0.0752
1600000US2613600,2613600,"Carson City city, Michigan",0.4390,0.0354
1600000US2613620,2613620,"Carsonville village, Michigan",0.4107,0.0639
1600000US2613760,2613760,"Caseville city, Michigan",0.5108,0.1172
1600000US2613820,2613820,"Casnovia village, Michigan",0.3623,0.0684
1600000US2613860,2613860,"Caspian city, Michigan",0.5008,0.1373
1600000US2613880,2613880,"Cass City village, Michigan",0.4062,0.0456
1600000US2613900,2613900,"Cassopolis village, Michigan",0.4275,0.0299
1600000US2614020,2614020,"Cedar CDP, Michigan",0.4749,0.1359
1600000US2614200,2614200,"Cedar Springs city, Michigan",0.3741,0.0399
1600000US2614260,2614260,"Cement City village, Michigan",0.4584,0.1819
1600000US2614320,2614320,"Center Line city, Michigan",0.4276,0.0258
1600000US2614400,2614400,"Central Lake village, Michigan",0.5202,0.1605
1600000US2614460,2614460,"Centreville village, Michigan",0.3976,0.0364
1600000US2614780,2614780,"Charlevoix city, Michigan",0.5257,0.0562
1600000US2614820,2614820,"Charlotte city, Michigan",0.4805,0.0520
1600000US2614940,2614940,"Chatham village, Michigan",0.4421,0.1011
1600000US2615000,2615000,"Cheboygan city, Michigan",0.4336,0.0310
1600000US2615020,2615020,"Chelsea city, Michigan",0.4224,0.0468
1600000US2615140,2615140,"Chesaning village, Michigan",0.4399,0.0425
1600000US2615715,2615715,"Chums Corner CDP, Michigan",0.3782,0.1206
1600000US2615920,2615920,"Clare city, Michigan",0.4800,0.0290
1600000US2616140,2616140,"Clarksville village, Michigan",0.3713,0.0584
1600000US2616160,2616160,"Clawson city, Michigan",0.3750,0.0243
1600000US2616280,2616280,"Clayton village, Michigan",0.3471,0.0493
1600000US2616420,2616420,"Clifford village, Michigan",0.3464,0.0662
1600000US2616440,2616440,"Climax village, Michigan",0.4045,0.0675
1600000US2616480,2616480,"Clinton village, Michigan",0.4166,0.0812
1600000US2616620,2616620,"Clio city, Michigan",0.3896,0.0401
1600000US2617020,2617020,"Coldwater city, Michigan",0.4382,0.0222
1600000US2617100,2617100,"Coleman city, Michigan",0.4093,0.0554
1600000US2617320,2617320,"Coloma city, Michigan",0.3521,0.0320
1600000US2617360,2617360,"Colon village, Michigan",0.3769,0.0459
1600000US2617460,2617460,"Columbiaville village, Michigan",0.3623,0.0400
1600000US2617690,2617690,"Comstock Northwest CDP, Michigan",0.3817,0.0446
1600000US2617700,2617700,"Comstock Park CDP, Michigan",0.3899,0.0274
1600000US2617740,2617740,"Concord village, Michigan",0.3739,0.0491
1600000US2617840,2617840,"Constantine village, Michigan",0.3957,0.0290
1600000US2617900,2617900,"Conway CDP, Michigan",0.2893,0.0606
1600000US2618020,2618020,"Coopersville city, Michigan",0.3614,0.0280
1600000US2618040,2618040,"Copemish village, Michigan",0.4304,0.0718
1600000US2618080,2618080,"Copper City village, Michigan",0.3375,0.0857
1600000US2618100,2618100,"Copper Harbor CDP, Michigan",0.3214,0.0696
1600000US2618300,2618300,"Corunna city, Michigan",0.4031,0.0403
1600000US2618880,2618880,"Cross Village CDP, Michigan",0.3467,0.0965
1600000US2618920,2618920,"Croswell city, Michigan",0.4049,0.0342
